selectedFuelFlow1,selectedFuelFlow2,altitude,Airspeed,groundAirSpeed,grossWeight,totalAirTemperatureCelsius,angleOfAttackVoted,horizontalStabilizerPosition,latitude,longitude,trackAngleTrue,totalFuelWeight,Month,Day,GMTHours,GMTMinutes,GMTSeconds,mach,fmcMach
65440,42656,-161,426.375,735.75,1134400,-4.375,-0.0880236799999921,3.4140625,113.52432234,180.03453366,-7.11940159999995,733477.074,25,14,31,52,6,0.9505,-2.874
65520,43488,85823,63.875,127.75,1134400,255.875,-7.16321375999999,-0.0234375,74.97037116,18.49376892,-12.3928352,733477.074,25,14,10,56,63,0.69625,3.07
65120,50864,127646,477.125,831.75,569920,255,-56.99716128,-0.0234375,-10.81872768,72.5096049,-105.90839104,902791.89,25,14,13,63,14,0.3985,1.022
35296,49200,-117085,367.125,488.5,368320,-0.25,-49.57040896,-0.0234375,161.71860522,106.2371232,163.65222272,901469.118,25,14,26,25,60,0.73975,1.406
16272,19184,-46745,511.125,36.75,368320,191.75,34.2773184,-0.0234375,-87.8737566,-174.4008897,-1.4065152,901469.118,25,14,3,23,63,0.92925,-1.598
28928,61424,18110,138.125,867.25,368320,-20.125,-4.48255168,-0.0234375,-2.38466015999998,180.00826968,160.31238144,901469.118,25,14,31,45,63,0.52475,-0.00799999999999912
44528,64064,-19785,345.875,231.5,368320,-2.625,-0.0880236799999921,-0.0234375,89.91916278,-73.04186832,-125.59587648,901469.118,25,14,17,44,48,0.76775,-2.306
48912,46128,66850,255.875,235.5,368320,-16.5,-46.14267712,7.625,-24.63832974,-17.03304174,179.91197632,901469.118,25,33,31,24,58,1.0165,2.67
6128,64128,-12501,311.875,767,368320,-70.625,44.95602144,-6.6953125,-160.9639221,123.837567,-0.43971904,901469.118,25,33,31,12,63,0.9785,-0.314
35856,53104,-63111,307.875,1017.5,368320,235.25,50.62496256,-4.0078125,89.99984298,-136.26339072,-109.77557568,901469.118,25,33,17,63,58,0.084,-0.842
64080,63984,-79692,480.125,811,368320,-23,-69.52156608,-1.6171875,-0.142246139999999,135.0777843,160.48816256,901469.118,25,33,21,7,33,0.7095,-0.196
64256,9872,-74820,511.5,101.25,368320,-40.125,-45.04404512,-1.6171875,90.07176852,-88.71077796,-64.77560896,901469.118,25,33,26,15,63,0.917,-0.00799999999999912
64576,25792,-26389,395.875,495,368320,-0.375,27.29001888,-1.6171875,-19.8434823,51.93873198,-93.34004096,901469.118,25,33,12,24,22,0.72425,-0.00200000000000067
45072,37424,-163,395.875,590.25,368320,200.125,-38.18858144,-3.6484375,175.92238524,-38.52384924,-138.25211712,901469.118,25,33,3,0,35,0.5425,-0.642
11632,50800,-434,108.375,510.5,368320,255.75,19.64354016,9.5703125,-18.30265062,114.08187834,47.37301184,901469.118,25,33,19,8,31,0.4385,-0.0139999999999993
36544,62848,-9429,510.375,407.25,652800,255.25,65.61030304,9.5703125,-50.64709206,-90.09059184,-132.18766848,13227.72,25,33,22,63,44,0.9395,3.922
4080,64432,-8321,303.875,363.25,652800,-179.625,-11.2501248,9.5703125,-2.67905921999996,135.08774058,-45.0002329599999,13227.72,25,33,14,61,46,1.02375,-2.022
1328,41968,-471,464.25,973.5,652800,89.375,-0.0880236799999921,-8.8828125,-34.02614814,-4.90567907999997,-3.95534143999998,13227.72,25,33,14,7,38,0.08825,-0.668
43504,65424,-80673,363.875,972.5,652800,-0.875,-0.263804799999974,-8.8828125,-37.8366885,-47.22536592,-168.838032,13227.72,25,33,31,16,9,1,0.15
33568,40944,-6401,328.875,976.25,652800,225.375,-81.29890112,15.90625,-33.7387871399999,-126.59696454,-84.4630944,13227.72,25,33,31,59,15,0.37925,-0.00200000000000067
17968,65440,-403,481.25,847,652800,-0.5,-2.10950656,15.90625,13.31525922,112.8186216,18.80857984,13227.72,25,33,21,2,33,0.79975,-0.264
26096,63408,82855,61,44.75,652800,-255.875,-0.879038719999983,4.6171875,119.47616682,-2.16888138,171.47448256,13227.72,25,33,11,39,48,0.25575,-1.038
61440,26160,-9032,511.125,965,652800,-7.875,-2.46106879999999,-4.03125,-33.66480168,-8.92101125999995,-53.17405504,13227.72,25,33,19,23,27,0.79975,-1.726
36688,34800,-1290,487.75,135.75,1295360,-81.625,-85.56159328,-4.03125,30.27815274,-3.00761933999995,160.22449088,902571.428,25,33,31,41,63,0.237,-2.8
54320,57520,-14027,231.875,834.75,1295360,-6.5,-81.60651808,-4.03125,-2.07549689999998,124.45194318,26.01560576,902571.428,25,33,25,14,60,1.011,0.598
54096,65440,-51473,398.875,859,1281920,-10.5,89.95598816,-4.03125,-50.54752926,30.30476004,89.91204288,288143.834,25,33,1,29,54,0.94875,3.634
